Days Lookahead,APSNet,,,RF,,,KNN,,,LR,,,DT,,,SVM,,,NN,,,LSTM,,
,failed,healthy,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc)
1,0.90589,0.90571,0.90580,0.81568,0.85177,0.83316,0.75110,0.78425,0.76662,0.68532,0.66964,0.67715,0.83919,0.86643,0.85225,0.68004,0.65732,0.66793,0.79965,0.81766,0.80840,0.80347,0.80614,0.80480
3,0.88823,0.89183,0.89000,0.81523,0.85151,0.83258,0.75379,0.77863,0.76563,0.69006,0.67615,0.68277,0.83678,0.86592,0.85075,0.68343,0.66359,0.67290,0.80388,0.80715,0.80550,0.79896,0.79863,0.79880
7,0.88658,0.88567,0.88613,0.80279,0.84812,0.82468,0.74657,0.75410,0.75028,0.68667,0.67384,0.68005,0.83228,0.84708,0.83947,0.68165,0.66327,0.67200,0.79389,0.79861,0.79620,0.79465,0.79699,0.79580
15,0.88450,0.85869,0.87155,0.79169,0.82491,0.80782,0.73740,0.73063,0.73400,0.67683,0.67217,0.67440,0.80973,0.81694,0.81327,0.67432,0.66390,0.66890,0.80358,0.79129,0.79740,0.78822,0.78838,0.78830
30,0.86442,0.86950,0.86692,0.79623,0.80237,0.79924,0.71105,0.71746,0.71418,0.65880,0.66120,0.66000,0.80046,0.79724,0.79882,0.68514,0.65224,0.66704,0.78240,0.79300,0.78770,0.75970,0.75788,0.75880
45,0.86551,0.86346,0.86450,0.78520,0.79336,0.78929,0.69950,0.70289,0.70116,0.66393,0.66842,0.66612,0.79154,0.78751,0.78950,0.67620,0.65837,0.66680,0.78333,0.77146,0.77730,0.75267,0.73695,0.74460
60,0.85434,0.86442,0.85930,0.78312,0.79599,0.78948,0.68498,0.68616,0.68554,0.66154,0.67014,0.66570,0.79002,0.78334,0.78662,0.66011,0.66420,0.66212,0.78155,0.75946,0.77000,0.73856,0.74611,0.74230
90,0.84950,0.84906,0.84928,0.77279,0.77324,0.77302,0.67278,0.66560,0.66920,0.65283,0.66329,0.65786,0.77443,0.76702,0.77066,0.64346,0.66726,0.65442,0.75044,0.76711,0.75850,0.72865,0.73691,0.73270
120,0.84452,0.84203,0.84328,0.76430,0.75712,0.76074,0.65116,0.63521,0.64310,0.63374,0.63974,0.63664,0.76310,0.75321,0.75804,0.61992,0.65395,0.63476,0.73987,0.74171,0.74080,0.72493,0.71395,0.71940
