interval,APSNet,,,RF,,,KNN,,,LR,,,DT,,,SVM,,,NN,,,LSTM,,
,failed,healthy,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc),1,0,total(Acc)
5,0.90048,0.90177,0.90114,0.83272,0.92100,0.89753,0.75110,0.78425,0.76662,0.68532,0.66964,0.67715,0.83919,0.86643,0.85225,0.68004,0.65732,0.66793,0.79965,0.81766,0.80840,0.80347,0.80614,0.80480
7,0.89127,0.89059,0.89093,0.83286,0.91962,0.89700,0.75379,0.77863,0.76563,0.69006,0.67615,0.68277,0.83678,0.86592,0.85075,0.68343,0.66359,0.67290,0.80388,0.80715,0.80550,0.79896,0.79863,0.79880
15,0.88882,0.88576,0.88720,0.82987,0.90763,0.88985,0.74657,0.75410,0.75028,0.68667,0.67384,0.68005,0.83228,0.84708,0.83947,0.68165,0.66327,0.67200,0.79389,0.79861,0.79620,0.79465,0.79699,0.79580
30,0.87212,0.87099,0.87155,0.81536,0.88735,0.87220,0.73163,0.73198,0.73177,0.67683,0.67217,0.67440,0.80973,0.81694,0.81327,0.67432,0.66390,0.66890,0.80358,0.79129,0.79740,0.78822,0.78838,0.78830
45,0.86442,0.86950,0.86692,0.80769,0.86614,0.85794,0.71105,0.71746,0.71418,0.66150,0.66215,0.66176,0.80046,0.79724,0.79882,0.68514,0.65224,0.66704,0.78240,0.79300,0.78770,0.75970,0.75788,0.75880
60,0.86551,0.86346,0.86450,0.80197,0.85660,0.85028,0.69950,0.70289,0.70116,0.66393,0.66842,0.66612,0.79154,0.78751,0.78950,0.67620,0.65837,0.66680,0.78333,0.77146,0.77730,0.75267,0.73695,0.74460
90,0.85870,0.85992,0.85930,0.79961,0.84826,0.84490,0.68498,0.68616,0.68554,0.66154,0.67014,0.66570,0.79002,0.78334,0.78662,0.66011,0.66420,0.66212,0.78155,0.75946,0.77000,0.73856,0.74611,0.74230
150,0.84950,0.84904,0.84928,0.78489,0.83494,0.83052,0.67129,0.67261,0.67190,0.65283,0.66329,0.65786,0.77443,0.76702,0.77066,0.64346,0.66726,0.65442,0.75044,0.76711,0.75850,0.72865,0.73691,0.73270
210,0.84452,0.84203,0.84328,0.77668,0.82299,0.82006,0.64501,0.64519,0.64506,0.63374,0.63974,0.63664,0.76310,0.75321,0.75804,0.61992,0.65395,0.63476,0.73987,0.74171,0.74080,0.72493,0.71395,0.71940
300,0.83117,0.82930,0.83024,0.75845,0.80662,0.80244,0.62121,0.62081,0.62102,0.60649,0.60530,0.60588,0.74762,0.73759,0.74250,0.58926,0.63226,0.60656,0.71786,0.72546,0.72160,0.70879,0.70427,0.70650
